shap_sample_idx,cluster,pca_x,pca_y
122803,3,-2.9098127,-3.7233994
24703,4,-4.410447,3.9250073
94627,4,-4.4828467,4.0614243
165465,4,-4.3078065,3.6844304
36457,0,-3.2837064,-7.664317
158768,2,-4.354658,2.4154086
92248,2,-4.4479494,2.7386162
38291,0,-3.5727434,-8.700865
118824,1,8.513572,1.1595287
155130,4,-4.5147147,4.116756
77719,3,-3.702044,-3.5281749
37443,3,-2.4962053,-2.7791255
86699,1,8.651824,0.40116766
171623,2,-4.167628,2.920336
13769,1,5.6010585,-2.4466896
41868,0,-3.1315215,-7.038845
7767,1,8.858704,1.2335204
106490,1,8.020157,-0.08438928
188547,3,-2.7235734,-2.6268823
21850,0,-3.5596187,-7.4282064
159316,4,-5.079689,3.9296134
29750,1,8.767729,1.095519
97089,0,-3.560113,-9.004359
15554,4,-4.3722186,3.9249134
59829,0,-3.2786274,-6.4353123
97102,0,-3.654827,-8.849281
182963,0,-3.6687567,-8.596122
43820,1,6.698373,-2.920782
101304,2,-4.5816617,2.4829066
155198,4,-4.474723,4.2038803
25603,4,-4.3119636,3.7353358
87618,1,8.814475,1.3019733
50516,4,-4.2712774,4.0089216
149750,3,-2.6478794,-2.5086846
147001,1,8.807791,0.618803
110358,2,-4.6942453,2.8446414
27992,2,-4.395477,2.6089072
12110,4,-4.426152,4.0121503
178320,2,-4.455183,2.0866532
25419,1,8.942873,1.1746705
87673,0,-3.4350357,-8.719871
105827,1,8.793538,1.2736448
113269,4,-3.9782946,3.7778525
18679,4,-4.364676,3.6341996
135868,0,-3.8611126,-6.52433
51262,1,8.670765,1.4990513
93755,1,8.784645,1.2204955
146360,1,8.468345,0.31935933
32668,4,-5.2685833,4.036736
87474,1,8.90109,0.60593003
72705,4,-4.3032618,4.1212673
91091,1,8.027664,-0.039935537
103802,4,-4.460246,4.137169
20168,2,-4.612885,2.4931173
186515,2,-4.428565,2.4302926
27467,1,8.619986,0.9587751
75134,4,-4.3118987,4.0536685
157733,1,8.643144,1.0688229
159557,4,-3.4708157,3.5038762
98323,4,-4.469784,4.209222
79821,2,-4.8733163,2.144554
29844,3,-2.8098638,-1.5558901
155971,2,-4.303532,2.407326
99616,4,-4.586019,3.7337246
44240,0,-3.7091856,-8.495602
27080,0,-3.2139883,-8.424311
109101,4,-4.416672,3.778009
88393,2,-4.432392,2.411079
137414,1,7.782431,-0.036123168
103818,4,-4.3618374,4.034377
33104,0,-3.3871539,-7.6570735
6255,4,-4.184674,4.0115123
30330,2,-4.293959,3.1087873
94446,1,8.524415,0.85616565
78582,1,8.36035,-0.09727783
